MonitoringLocationIdentifier,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode
USGS-03503000,Iron,Recoverable,0,ug/l
USGS-03503000,Mercury,Recoverable,,
USGS-03469900,Iron,Recoverable,100,ug/l
USGS-03513000,Iron,Dissolved,100,ug/l
USGS-03469900,Iron,Recoverable,70,ug/l
USGS-03505500,Iron,Dissolved,40,ug/l
USGS-03512468,Mercury,Dissolved,0.5,ug/l
USGS-03503000,Iron,Dissolved,660,ug/l
USGS-03505500,Iron,Recoverable,60,ug/l
USGS-03505500,Iron,Dissolved,,
USGS-03505500,Iron,Dissolved,100,ug/l
USGS-03470000,Iron,Recoverable,30,ug/l
USGS-03503000,Iron,Dissolved,0,ug/l
USGS-03469122,Manganese,Recoverable,20,ug/l
USGS-03469122,Manganese,Dissolved,20,ug/l
USGS-03468510,Barium,Recoverable,,
USGS-03468510,Beryllium,Recoverable,,
USGS-03468510,Cadmium,Total,,
USGS-03468510,Chromium,Recoverable,6,ug/l
USGS-03468510,Copper,Recoverable,,
USGS-03468510,Iron,Recoverable,340,ug/l
USGS-03468510,Lead,Recoverable,,
USGS-03468510,Manganese,Recoverable,90,ug/l
USGS-03468510,Nickel,Recoverable,,
USGS-03468510,Silver,Recoverable,,
USGS-03468510,Zinc,Recoverable,30,ug/l
USGS-03468510,Aluminum,Recoverable,200,ug/l
USGS-03468510,Lithium,Recoverable,,
USGS-03468510,Titanium,Total,,
USGS-03468510,Mercury,Recoverable,,
USGS-03469122,Iron,Recoverable,840,ug/l
USGS-03469122,Iron,Dissolved,,
USGS-03469122,Manganese,Recoverable,70,ug/l
USGS-03469122,Manganese,Dissolved,,
USGS-03468510,Barium,Recoverable,,
USGS-03468510,Beryllium,Recoverable,,
USGS-03468510,Cadmium,Total,,
USGS-03468510,Chromium,Recoverable,,
USGS-03468510,Copper,Recoverable,30,ug/l
USGS-03468510,Iron,Recoverable,170,ug/l
USGS-03468510,Lead,Recoverable,,
USGS-03468510,Manganese,Recoverable,60,ug/l
USGS-03468510,Nickel,Recoverable,,
USGS-03468510,Silver,Recoverable,,
USGS-03468510,Zinc,Recoverable,30,ug/l
USGS-03468510,Aluminum,Recoverable,,
USGS-03468510,Lithium,Recoverable,,
USGS-03468510,Titanium,Total,,
USGS-03468510,Mercury,Recoverable,,
USGS-03468510,Iron,Recoverable,550,ug/l
USGS-03468510,Manganese,Recoverable,50,ug/l
USGS-03470025,Barium,Recoverable,,
USGS-03470025,Beryllium,Recoverable,,
USGS-03470025,Cadmium,Total,,
USGS-03470025,Chromium,Recoverable,,
USGS-03470025,Copper,Recoverable,30,ug/l
USGS-03470025,Iron,Recoverable,460,ug/l
USGS-03470025,Lead,Recoverable,,
USGS-03470025,Manganese,Recoverable,30,ug/l
USGS-03470025,Nickel,Recoverable,,
USGS-03470025,Silver,Recoverable,,
